log_M, ah, gh, qtil, b,  N,f
-2.15714, 9.95377, 0.183205, 1.02483e-006 ,0.00439529, 189.244 ,-703.019
-2.04674, 9.94909, 0.195651, 0.000204133 ,0.736124, 204.67 ,-701.708
-2.00425, 10.0252, 0.219437, 0.00019477 ,0.191439, 250.143 ,-700.996
-2.11708, 10.0179, 0.143476, 0.000209782 ,0.869403, 170.781 ,-700.993
-2.28232, 9.96675, 0.24106, 6.19242e-005 ,0.997053, 132.886 ,-701.607
-2.34754, 10.0571, 0.200702, 3.84296e-005 ,1.33306, 118.331 ,-700.608
-2.07095, 10.031, 0.20364, 6.32357e-005 ,0.651098, 244.096 ,-702.087
-2.27039, 10.0103, 0.213375, 4.84054e-005 ,1.09423, 189.792 ,-700.862
-2.068, 10.0007, 0.170263, 1.25023e-005 ,0.170776, 242.134 ,-702.388
-2.07534, 10.2174, 0.218519, 0.000153756 ,0.0449495, 167.277 ,-698.808
-2.46355, 10.1181, 0.318038, 0.000306153 ,0.229767, 65.8049 ,-697.17
-2.27207, 9.82384, 0.196388, 0.000211879 ,0.291003, 129.738 ,-701.684
-2.2534, 9.84582, 0.16275, 0.000180477 ,0.762897, 147.603 ,-702.105
-2.19303, 9.97078, 0.101273, 0.000169103 ,0.205056, 144.038 ,-698.779
-2.14747, 9.9086, 0.136997, 5.59455e-005 ,0.149803, 197.568 ,-701.981
-2.31497, 9.9062, 0.185352, 0.00037798 ,0.467988, 151.853 ,-701.941
-2.1893, 9.93388, 0.202208, 0.000518175 ,0.49532, 207.17 ,-702.256
-2.44987, 9.69829, 0.145283, 0.000546973 ,0.460387, 85.1144 ,-699.114
-2.2645, 9.927, 0.167067, 0.000715079 ,1.07137, 238.631 ,-697.838
-2.15006, 10.0935, 0.271879, 0.000649882 ,0.44725, 206.058 ,-700.255
-2.08358, 9.87611, 0.133265, 0.00100549 ,0.587176, 243.534 ,-700.447
-2.08619, 10.0414, 0.177361, 0.000801132 ,0.366241, 268.989 ,-701.291
-2.14783, 10.0414, 0.204415, 0.000805146 ,0.241619, 159.261 ,-702.167
-2.15304, 9.95269, 0.167737, 0.000664718 ,0.787993, 193.103 ,-702.434
-2.18592, 9.87202, 0.173097, 0.0005664 ,0.274728, 162.08 ,-702.462
-2.23868, 9.92717, 0.183938, 0.000557237 ,0.339657, 124.831 ,-701.866
-2.20141, 10.0208, 0.173408, 0.000571957 ,0.606876, 184.664 ,-702.049
-2.04535, 9.97389, 0.137381, 0.000399443 ,0.0981698, 237.169 ,-701.443
-2.11477, 9.93941, 0.244564, 0.000186357 ,0.196678, 192.193 ,-700.976
-2.22445, 9.81875, 0.150425, 0.000555703 ,0.0988342, 213.34 ,-700.919
-2.25268, 10.0329, 0.185081, 0.000543546 ,0.387953, 223.96 ,-699.336
-2.23101, 9.77778, 0.117753, 0.000539782 ,0.192117, 165.619 ,-700.052
-2.16171, 9.93101, 0.170636, 0.000414767 ,0.711524, 169.074 ,-702.551
-2.41162, 9.57512, 0.130985, 0.000336092 ,0.94921, 81.6334 ,-698.038
-2.02242, 9.97785, 0.182467, 1.2977e-005 ,1.27065, 243.168 ,-701.758
-2.17396, 9.99517, 0.191224, 0.000154111 ,0.205875, 224.911 ,-702.102
-2.26086, 9.8657, 0.198196, 0.000285347 ,0.548431, 137.666 ,-702.116
-2.26033, 9.92707, 0.186248, 0.000402866 ,0.767598, 161.868 ,-702.361
-2.04237, 9.95836, 0.137132, 4.82893e-006 ,0.763792, 229.679 ,-701.354
-2.21024, 9.81658, 0.182945, 0.000173323 ,1.46638, 153.518 ,-699.1
-2.137, 9.80991, 0.202444, 0.000178814 ,1.05121, 181.626 ,-700.351
-2.26195, 9.86699, 0.201575, 0.000214453 ,0.232602, 155.733 ,-702.197
-2.56705, 10.3048, 0.351848, 0.000513379 ,0.0635996, 84.1669 ,-695.442
-2.21883, 9.96577, 0.256011, 0.000389619 ,0.375756, 127.762 ,-700.928
-2.20627, 10.0902, 0.186967, 0.000568619 ,0.874363, 174.69 ,-700.738
-2.27861, 9.85735, 0.246588, 0.000314047 ,0.323148, 169.747 ,-699.744
